start date,end date,qdate,total,hog,piglet,sow,to subsidiaries,hog price,hog revenue,total qtr,hog qtr,piglet qtr,sow qtr,breeding sow inventory
2014-04-01,2014-04-30,2Q14,18.4,NA,NA,NA,NA,10.48,2.17,NA,NA,NA,NA,NA
2014-05-01,2014-05-31,2Q14,16.0,NA,NA,NA,NA,12.79,2.24,NA,NA,NA,NA,NA
2014-06-01,2014-06-30,2Q14,14.6,NA,NA,NA,NA,12.82,1.94,NA,NA,NA,NA,NA
2014-07-01,2014-07-31,3Q14,15.8,NA,NA,NA,NA,13.56,2.26,NA,NA,NA,NA,NA
2014-08-01,2014-08-31,3Q14,13.1,NA,NA,NA,NA,14.71,1.94,NA,NA,NA,NA,NA
2014-09-01,2014-09-30,3Q14,16.2,NA,NA,NA,NA,14.43,2.47,NA,NA,NA,NA,NA
2014-10-01,2014-10-31,4Q14,12.3,NA,NA,NA,NA,13.8,1.91,NA,NA,NA,NA,NA
2014-11-01,2014-11-30,4Q14,17.2,NA,NA,NA,NA,13.62,2.76,NA,NA,NA,NA,NA
2014-12-01,2014-12-31,4Q14,25.6,NA,NA,NA,NA,13.26,3.83,NA,NA,NA,NA,NA
2015-01-01,2015-02-28,1Q15,29.3,NA,NA,NA,NA,12.0,3.64,NA,NA,NA,NA,NA
2015-03-01,2015-03-31,1Q15,10.8,NA,NA,NA,NA,11.22,1.23,NA,NA,NA,NA,NA
2015-04-01,2015-04-30,2Q15,11.9,NA,NA,NA,NA,12.68,1.5,NA,NA,NA,NA,NA
2015-05-01,2015-05-31,2Q15,17.2,NA,NA,NA,NA,13.97,2.48,NA,NA,NA,NA,NA
2015-06-01,2015-06-30,2Q15,16.0,NA,NA,NA,NA,15.14,2.41,NA,NA,NA,NA,NA
2015-07-01,2015-07-31,3Q15,13.5,NA,NA,NA,NA,17.11,2.23,NA,NA,NA,NA,NA
2015-08-01,2015-08-31,3Q15,15.1,NA,NA,NA,NA,18.1,2.93,NA,NA,NA,NA,NA
2015-09-01,2015-09-30,3Q15,16.2,NA,NA,NA,NA,17.37,3.01,NA,NA,NA,NA,NA
2015-10-01,2015-10-31,4Q15,16.9,NA,NA,NA,NA,16.59,3.02,NA,NA,NA,NA,NA
2015-11-01,2015-11-30,4Q15,15.6,NA,NA,NA,NA,16.03,2.85,NA,NA,NA,NA,NA
