date,question,answer
2015-11-06,1、问：公司有无深加工产品规划？,答：公司有深加工的产品，并且在局部市场占比较高，如在香港。但相对于养鸡、养猪的主产业来说，体量很小。目前，暂无深加工产品的其他规划。
2015-11-06,15、问：公司现在鸡、猪产能匹配情况怎么样？,答：公司的各项生产均按照内部制订的计划执行，种鸡和种猪的配套能匹配未来公司发展。公司到每一个地方发展，产能都是匹配的。所有一体化公司一般先建设种鸡、种猪场，再建设饲料厂，然后会发展养户，最后建设办公设施，配套齐全的。如果偶有配套不齐，公司会通过从周边兄弟公司调济解决，但这种情况不会持续很久。
2015-11-06,14、问：公司以前在河南是有公司的，后来退出了，请问是什么原因？,答：主要是与合作方合作得不太理想。
2015-11-06,13、问：公司养猪业市场占有率约2%，但区域发展还不平衡，比如西南、华北在占比还较小，公司有何措施进行提高？,答：公司养猪分为华南区、华东区、华北区、西南区、华中区和东北区。公司在西南区发展已有十多年，开始是从事养鸡业，后来才发展养猪业，起步稍晚。华北也差不多这种情况。一个养猪公司从建设、投产到满负荷生产一般需要3-5年时间。公司到一个新区域发展首先会先建立一个公司，慢慢成型后才发散开，复制出第二个、第三个公司。
2015-11-06,12、问：公司上市后发展空间在哪？,答：公司所处行业具有巨大的发展空间，单就养殖业来说至少有一万亿的市场空间。公司未来主要还是从事养殖业。现在官方数据披露全国肉猪年出栏约6-7亿头，目前公司年出栏量占全国年出栏量为2%左右，还有很大的提升空间。肉鸡养殖行业相对较小，但与其他行业比，空间也很大。公司还从事其他养殖业，如养羊、奶牛、养鸭等。公司奶牛饲养已有近10的时间，现在已具备一定的规模。养鸭业也有10年的时间，年上市量在全国也是排在前面的。这些只是横向的发展空间。公司还有纵向发展空间，比如食品加工，营销等，这些在吸并报告书中都有提及。
2015-11-06,10、问：公司对养户管理员的激励如何？,答：养户管理员是公司的内部员工，按照内部员工管理制度进行管理，并根据工作特殊性采取特定管理措施。在激励方面主要体现在交通和通讯补贴、外出补贴、奖金等。同时，公司需要方方面面的人才，公司会根据各岗位情况充分平衡考虑员工激励政策。
2015-11-06,9、问：据了解公司养猪成本比别人低，如何做到？,答：第一，公司采用养殖全流程管理，做好育种、疫病防控、营养等全方位管理。第二，“公司+农户”的模式，充分发挥了公司和养户的优势，做到更专业，更高效。
2015-11-06,11、问：公司的专利怎么样？如何保护？,答：公司有自己的专利技术，还获得了畜禽新品种证书。公司设置了专门的科研管理部，对专利进行管理和保护。
2015-11-06,7、问：黄羽鸡在公司收入占比每年增长情况如何？,近几年，社会消费需求略有下滑，公司黄羽鸡产量增长不明显。随着市场行情转暖，公司产量也会适当增加，但相对猪的增长还是要低一点。这几年，猪每年都有十个点以上的增长，鸡的增长就少很多，但公司会积极探索其他途径进行替代。
2015-11-06,6、问：一般会出现养殖水平低的养户会对公司的依赖性高，养殖水平高的养户会对公司的依赖性低吗？公司如何处理？,答：公司对养户的选择不完全在于其对养殖的熟练程度，主要在于品德和劳动力的付出程度。因为公司有专业的技术指导，能很好指导养户的养殖技术，养户需勤勤恳恳，专心来做好养殖管理等工作，是可以取得较好的养殖成绩和效益。而且公司在开始选择养户就选了具备好的品德的养户，一般不存在您说的情况。
2015-11-06,5、问：历史上公司分红政策如何？,答：公司历年都有一定比例的现金分红，以后也会比较重视现金分红。
2015-11-06,4、问：公司股权结构怎样？后续有无员工股权激励计划？,答：公司股权较为分散，控股股东及实际控制人为温氏家族。公司自创业初期就实行员工股份合作制形式，所以较早进入公司工作的干部、员工大都持有公司股份。公司上市后，公司将继续弘扬“精诚合作，齐创美满生活”的温氏文化，希望除了工资、奖金收益，骨干员工也能享受到公司发展的成果，所以条件成熟时公司会考虑员工股权激励计划。
2015-11-06,2、公司各地的养户管理员如何招聘和管理？,答：招聘途径主要是畜牧兽医专业大学毕业生，以及在公司内部种鸡、种猪场员工选聘。公司有养户管理员操作手册，公司根据养户管理员规范和流程进行管理和考核。3、问：①公司养户费用一般都比较稳定，但在猪、鸡行情好坏时有无差别？②公司如何维护养户的稳定，在行情坏时如何防范养户偷买（鸡、猪苗充数），在行情好时如何防范养户偷卖（公司鸡、猪产品），从而赚取差价。答：①养户与公司是互利的，互相依存。养户在饲养之前已与公司签订委托饲养合同，明确定价。公司保护养户收益相对稳定。随着物价水平的提升，公司给养户的毛利水平也逐年提升。公司是行情变化风险的主要承担者。行情低迷时，公司承担亏损的风险。行情好时，公司会适当提高养户收益。集团公司要求下属分、子公司保证养户收益水平，根据不同时期，要求给予养户（在生产成绩正常的情况下）收益要达到一定水平。②关于养户稳定的问题，公司现在养户规模比较大，有5万多户，总体比较稳定。公司在选择养户时会事先了解其的情况，一般选择信用良好的养户合作，所以公司养户有较好的诚信度。同时，公司加强管理，一般一位养户管理员管理十多户养户，对养户的排苗、疫病、销售等情况很了解，对正常情况下的生产成绩都心中有数（公司也有数据依据）。如果生产有异常，养户没有说明，也没有管理员见证（说明该养户有问题），如果这种情况持续出现，该批饲养合同到期后，公司会劝退该养户。第三，公司的“公司+农户”模式是紧密型合作关系，养户与公司是互利的，互相依存。第四，养户的种苗、饲料、兽药等物资是公司的资产，这在委托饲养合同中是有约定的，是受法律保护的，所以养户要受相应法律的约束。所以，你说的（偷买偷卖）的情况很少见。
2015-11-06,8、问：公司疫病防疫政策如何？,答：公司多年来在养猪、养鸡生产管理过程中形成了一套完善的防疫体系，该体系实现对研究、防疫、监测各环节全覆盖。这几年生产很稳定，上市率远远高于行业平均水平。
2015-11-30,8、问：公司在食品安全问题有哪些文章可以做，未来会在哪些方面发力？,答：公司深刻意识到食品安全是公司的生命线。30多年来，公司没有出现过重大的食品安全事件。从公司产品的市场占有率和产品销售总量可以看出公司的产品质量是过硬的，消费者可以放心食用。从内控来说，公司有专门的科室来做食品安全技术的研发、日常的监测和监督管理工作。公司养殖所用的物料，如饲料、药物等都是公司提供，不允许合作农户私自外购，合作农户都会遵守公司的规定。同时，公司还通过日常的监测和上市前检测确保每一批上市的肉猪、肉鸡产品都符合食品安全要求。
2015-11-30,12、问：很多同行企业都在学习温氏的“公司+农户”模式，但很多企业都没有学到或者效果不好，请问他们是哪些精髓没有学到吗？,答：公司的“公司+农户”模式现在已升级为“公司+家庭农场”模式。据公司了解，有很多同行企业学习“公司+农户”模式也是很成功的。要说有什么精髓的话，那就是真诚的对待每一位合作农户。除了以上的访谈，一些媒体也给公司一些建议，主要有以下两条：1、希望公司与媒体建立常态化的沟通交流机制，让广大投资者和社会公众通过媒体了解、理解公司；同时，公司也能借助媒体向广大投资者和社会公众发出公司的声音。2、公司上市之后必然成为社会关注的焦点，希望公司建立起各种危机应对的机制。
2015-11-30,11、问：信息化对公司的作用如何？,答：信息化的应用对公司提高管理水平是一个强大的支撑，也有利于公司的规范化管理和生产效率的提升。
2015-11-30,10、问：公司未来在信息化、物联网的工作方向如何？公司是否有发展电商方面的规划？,答：主要有三个方向，一是在现有应用的基础上继续深化；二是拓展物联网向更宽领域应用，使公司生产管理实现信息化、网络化最终实现自动化、智能化，三是加强信息化在公司新业务上的应用研发，紧跟公司的业务发展步伐。信息化为公司产业发展的配套服务，我们希望未来信息化也能够为公司发展生鲜电商服务。
2015-11-30,9、问：公司对疫情的应对机制如何？公司是否有海外发展的计划？,答：公司从1997年开始就应对过多次疫情危机事件，积累了丰富的防控疫情疫病经验。公司在多年的生产管理过程中也形成了一套完善的防疫体系，该体系实现对研究、防疫、监测各环节的全覆盖。公司当前还没有过多的考虑海外市场的拓展。
2015-11-30,7、问：公司的合作农户是否能达到环保要求？环保问题是否会制约公司发展合作农户？公司除了“公司+农户”模式，未来是否采取自繁自养的模式？公司是否与合作农户产生过纠纷，如何避免？,答：公司早些年就将养殖环保处理能力打造成提升公司未来竞争力的重要手段。公司设置有专门的科室开展环保工程的研发和管理工作。农户在与公司合作养殖前，需经过公司专业部门的验收，验收合格后，公司才与其合作。公司还通过一定的补贴调动合作农户做好环保的积极性。同时，根据各地具体情况和要求，合作农户可以将畜禽粪便发酵后作为有机肥还田。自繁自养模式不是公司未来发展的方向，公司暂时不会考虑。公司与合作农户的养殖合同是每批一签，双方都很珍惜这样的合作机会，总体来说产生的纠纷极少。公司非常主动承担公司应承担的责任。对于合作农户，只要不是其故意地违背、破坏合同约定而造成损失，公司会尽力维护合作农户的利益。公司认为公司与合作农户的关系是比较和谐的。
2015-11-30,3、问：温氏现代农牧装备发展情况怎么样？,答：随着劳动力成本的不断提升和养殖环境控制要求越来越高，利用现代农牧装备可以提高养殖效率，进一步做好养殖环境控制。公司的现代农牧装备分机械化、自动化和智能化三步走。公司养殖机械化已基本实现，自动化已建设许多示范项目，未来还要向智能化发展。
2015-11-30,5、问：公司现在的市值还是深市最大，这对公司管理层来说是压力更大还是动力更大？,答：公司的市值是市场给予公司的肯定。这个市值应与公司给予股东的回报相匹配。从这点来说公司的压力确实大，但动力也大，压力和动力是可以转换的。公司高层经常在一起讨论研究下个阶段公司该如何才能持续高效地发展。前阶段公司内部召开了一个战略研讨会，公司认为，上市后公司发展机会更多，底气更足，发展的步伐也可以更大。公司目前所处大食品行业，提供的产品是被不断循环消费的。随着居民生活水平的提高，公司的发展空间还很大。就算只在传统的肉猪、肉鸡养殖当中，我们也可以通过不断地提高我们的产量和市场占有率，保持公司持续、稳定、快速的发展。
